7,80,0.281
7,85,0.483
7,90,0.406
7,95,0.36
7,100,0.205
7,105,0.205
7,110,0.17
7,115,0.453
7,120,0.36
14,80,0.398
14,85,0.157
14,90,0.489
14,95,0.441
14,100,0.224
14,105,0.214
14,110,0.214
14,115,0.256
14,120,0.334
30,80,0.301
30,85,0.252
30,90,0.364
30,95,0.199
30,100,0.252
30,105,0.278
30,110,0.31
30,115,0.425
30,120,0.22
60,80,0.33
60,85,0.357
60,90,0.166
60,95,0.363
60,100,0.21
60,105,0.173
60,110,0.482
60,115,0.488
60,120,0.433
90,80,0.257
90,85,0.184
90,90,0.389
90,95,0.304
90,100,0.193
90,105,0.323
90,110,0.162
90,115,0.468
90,120,0.241
180,80,0.382
180,85,0.259
180,90,0.332
180,95,0.341
180,100,0.215
180,105,0.489
180,110,0.421
180,115,0.479
180,120,0.463
365,80,0.359
365,85,0.473
365,90,0.181
365,95,0.219
365,100,0.166
365,105,0.264
365,110,0.286
365,115,0.245
365,120,0.44
